"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
61	0.000000000000000e+00	2.662469999993614e-01	1.176829268292683e+00	1.225745504857560e+03	-6.646670922090554e-15	8.916599999981262e+05	1.013250000000002e+05	3.000000000000007e+02	3.647396498832839e-16	2.999999999995592e+00	
62	0.000000000000000e+00	2.709179999993478e-01	1.176829268292682e+00	1.225745504857560e+03	1.179571348583600e-14	8.916599999981263e+05	1.013250000000002e+05	3.000000000000007e+02	3.191471936478735e-16	2.999999999995593e+00	
63	0.000000000000000e+00	2.755889999993342e-01	1.176829268292682e+00	1.225745504857560e+03	1.573355150207078e-13	8.916599999981262e+05	1.013250000000000e+05	3.000000000000002e+02	6.838868435311574e-17	2.999999999995596e+00	
64	0.000000000000000e+00	2.802599999993207e-01	1.176829268292682e+00	1.225745504857560e+03	1.362849450883389e-13	8.916599999981265e+05	1.013250000000000e+05	3.000000000000002e+02	2.279622811770525e-17	2.999999999995597e+00	
65	0.000000000000000e+00	2.849309999993071e-01	1.176829268292683e+00	1.225745504857561e+03	8.438182025819983e-14	8.916599999981264e+05	1.013250000000000e+05	2.999999999999999e+02	-4.559245623541049e-17	2.999999999995598e+00	
66	0.000000000000000e+00	2.896019999992935e-01	1.176829268292683e+00	1.225745504857561e+03	1.043559370734040e-13	8.916599999981264e+05	1.013249999999999e+05	2.999999999999996e+02	-1.823698249416420e-16	2.999999999995600e+00	
67	0.000000000000000e+00	2.942729999992800e-01	1.176829268292684e+00	1.225745504857562e+03	-3.953136673870508e-15	8.916599999981265e+05	1.013249999999999e+05	2.999999999999996e+02	-9.118491247082098e-17	2.999999999995599e+00	
68	0.000000000000000e+00	2.989439999992664e-01	1.176829268292683e+00	1.225745504857561e+03	5.019181546500435e-14	8.916599999981262e+05	1.013250000000001e+05	3.000000000000001e+02	9.118491247082098e-17	2.999999999995596e+00	
69	0.000000000000000e+00	3.036149999992593e-01	1.176829268292683e+00	1.225745504857562e+03	-5.178773566102221e-15	8.916599999981264e+05	1.013249999999998e+05	2.999999999999993e+02	-3.875358780009892e-16	2.999999999995602e+00	
70	0.000000000000000e+00	3.082859999992501e-01	1.176829268292683e+00	1.225745504857561e+03	-9.548954663803245e-14	8.916599999981264e+05	1.013249999999999e+05	2.999999999999996e+02	-2.279622811770525e-16	2.999999999995600e+00	
71	0.000000000000000e+00	3.129569999992365e-01	1.176829268292682e+00	1.225745504857561e+03	-2.062255248988712e-14	8.916599999981263e+05	1.013249999999999e+05	2.999999999999998e+02	-1.823698249416420e-16	2.999999999995600e+00	
72	0.000000000000000e+00	3.176279999992229e-01	1.176829268292682e+00	1.225745504857561e+03	1.762906738307984e-14	8.916599999981264e+05	1.013249999999999e+05	2.999999999999999e+02	-9.118491247082098e-17	2.999999999995599e+00	
73	0.000000000000000e+00	3.222989999992094e-01	1.176829268292683e+00	1.225745504857561e+03	-1.309222977355685e-13	8.916599999981266e+05	1.013250000000000e+05	2.999999999999998e+02	-6.838868435311574e-17	2.999999999995599e+00	
74	0.000000000000000e+00	3.269699999991958e-01	1.176829268292684e+00	1.225745504857562e+03	-9.732485812189922e-14	8.916599999981268e+05	1.013249999999999e+05	2.999999999999996e+02	-1.139811405885262e-16	2.999999999995600e+00	
75	0.000000000000000e+00	3.316409999991822e-01	1.176829268292683e+00	1.225745504857561e+03	-4.081474232507165e-14	8.916599999981264e+05	1.013250000000000e+05	2.999999999999999e+02	0.000000000000000e+00	2.999999999995597e+00	
76	0.000000000000000e+00	3.363119999991687e-01	1.176829268292683e+00	1.225745504857561e+03	-5.354190771358190e-14	8.916599999981265e+05	1.013250000000001e+05	3.000000000000002e+02	1.139811405885262e-16	2.999999999995596e+00	
77	0.000000000000000e+00	3.409829999991550e-01	1.176829268292683e+00	1.225745504857561e+03	1.869458584860196e-14	8.916599999981268e+05	1.013250000000002e+05	3.000000000000006e+02	3.647396498832839e-16	2.999999999995593e+00	
78	0.000000000000000e+00	3.456539999991415e-01	1.176829268292683e+00	1.225745504857561e+03	5.844153692307977e-15	8.916599999981268e+05	1.013250000000001e+05	3.000000000000002e+02	1.823698249416420e-16	2.999999999995596e+00	
79	0.000000000000000e+00	3.503249999991279e-01	1.176829268292683e+00	1.225745504857560e+03	-5.133763690440675e-14	8.916599999981263e+05	1.013250000000002e+05	3.000000000000006e+02	2.735547374124630e-16	2.999999999995593e+00	
80	0.000000000000000e+00	3.549959999991213e-01	1.176829268292683e+00	1.225745504857561e+03	-5.167202553161949e-14	8.916599999981265e+05	1.013250000000001e+05	3.000000000000002e+02	1.139811405885262e-16	2.999999999995596e+00	
81	0.000000000000000e+00	3.596669999991116e-01	1.176829268292683e+00	1.225745504857561e+03	-4.547958336845913e-14	8.916599999981266e+05	1.013250000000001e+05	3.000000000000001e+02	9.118491247082098e-17	2.999999999995597e+00	
82	0.000000000000000e+00	3.643379999990981e-01	1.176829268292683e+00	1.225745504857561e+03	-1.841393343719375e-14	8.916599999981268e+05	1.013250000000002e+05	3.000000000000004e+02	2.507585092947577e-16	2.999999999995595e+00	
83	0.000000000000000e+00	3.690089999990845e-01	1.176829268292683e+00	1.225745504857560e+03	-3.760083077033703e-14	8.916599999981262e+05	1.013250000000002e+05	3.000000000000006e+02	2.963509655301682e-16	2.999999999995593e+00	
84	0.000000000000000e+00	3.736799999990709e-01	1.176829268292682e+00	1.225745504857560e+03	-6.063232856968213e-14	8.916599999981262e+05	1.013250000000003e+05	3.000000000000009e+02	4.103321061186945e-16	2.999999999995591e+00	
