x,V101_H321,V151_H421,V201_H521,V301_H621,V401_H721
1.101676901769742534e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.117033296787555696e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.132389691805368859e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.147746086823182021e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.163102481840995184e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.178458876858808346e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.193815271876621648e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.209171666894434810e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.224528061912247973e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.239884456930061135e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.255240851947874159e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.270597246965687321e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.285953641983500484e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.301310037001313646e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.316666432019126809e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.332022827036940249e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.347379222054753412e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.362735617072566574e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.378092012090379737e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.393448407108192899e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.408804802126006062e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.424161197143819224e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.439517592161632387e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.454873987179445549e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.470230382197258712e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.485586777215071874e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.500943172232885037e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
